Link,PDF Path,Title,Identifier,Summary,Facts
https://indiankanoon.org/docfragment/181202406/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Union_Of_India_vs_Ashok_Kumar_Sharma_on_28_August_2020.PDF,,,,
https://indiankanoon.org/docfragment/179868451/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Amish_Devgan_vs_Union_Of_India_on_7_December_2020.PDF,,,,
https://indiankanoon.org/docfragment/10807134/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Bikramjit_Singh_vs_The_State_Of_Punjab_on_12_October_2020.PDF,,,,
https://indiankanoon.org/docfragment/47374276/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Ram_Sharan_Maurya_vs_State_Of_U_P_on_18_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/168564255/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Kavita_Kanwar_vs_Mrs_Pamela_Mehta_on_19_May_2020.PDF,,,,
https://indiankanoon.org/docfragment/93730232/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_State_Of_Jharkhand_vs_Brahmputra_Metallics_Limited_on_1_December_2020.PDF,,,,
https://indiankanoon.org/docfragment/87842451/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Assistant_Commissioner_Ct_Ltu_vs_M_S_Glaxo_Smith_Kline_Consumer_Health_on_6_May_2020.PDF,,,,
https://indiankanoon.org/docfragment/103937842/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_Pharmacy_Council_Of_India_vs_Dr_S_K_Toshniwal_Educational_Trusts_on_5_March_2020.PDF,,,,
https://indiankanoon.org/docfragment/19485924/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Union_Of_India_vs_M_S_Exide_Industries_Ltd_on_24_April_2020.PDF,,,,
https://indiankanoon.org/docfragment/135723482/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Alembic_Pharmaceuticals_Ltd_vs_Rohit_Prajapati_on_1_April_2020.PDF,,,,
https://indiankanoon.org/docfragment/108065727/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Pravin_Kumar_vs_Union_Of_India_And_Ors_on_10_September_2020.PDF,,,,
https://indiankanoon.org/docfragment/140413099/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Maruti_Suzuki_India_Ltd_Earlier_Known_vs_Commissioner_Of_Income_Tax_Delhi_on_7_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/151468802/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,M_E_Shivalingamurthy_vs_Central_Bureau_Of_Investigation_on_7_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/14560127/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Beli_Ram_vs_Rajinder_Kumar_on_23_September_2020.PDF,,,,
https://indiankanoon.org/docfragment/89365178/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Preet_Pal_Singh_vs_The_State_Of_Uttar_Pradesh_on_14_August_2020.PDF,,,,
https://indiankanoon.org/docfragment/145644190/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,C_Jayachandran_vs_State_Of_Kerala_on_4_March_2020.PDF,,,,
https://indiankanoon.org/docfragment/108586555/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Amar_Singh_vs_The_State_Nct_Of_Delhi_on_12_October_2020.PDF,,,,
